,0
0,0.4995863395146384
1,0.5012782481664778
2,0.5003354003935364
3,0.49842734482141793
4,0.49944472601514517
5,0.5000670800787073
6,0.500089440104943
7,0.500722974181623
8,0.5004099338143223
9,0.5010434678910023
10,0.5001900602230039
11,0.49771927732395205
12,0.5024372428596983
13,0.4997503130403673
14,0.5011515413511418
15,0.5003130403673007
16,0.49686214298491443
17,0.4962137022240773
18,0.4958261284359907
19,0.4904709021525252
20,0.4782660544988373
21,0.45458678671516306
22,0.4146927732395206
23,0.5051353526921472
24,0.5894997316796852
25,0.2590409039413273
26,0.8787490310655298
27,0.9988260986226224
28,1.0
29,1.0
30,0.0
31,0.534132580048894
